item_id,title,price,domain_id,brand
MLA1230825310,Smart Tv Samsung Neo Qled 4k Qn55qn85bagczb Qled 4k 55  220v - 240v,399999.0,MLA-TELEVISIONS,Samsung
MLA1173070557,Smart Tv 65 Tcl Led 4k L65p725 Uhd Google Tv,234999.0,MLA-TELEVISIONS,TCL
MLA1341130260,Smart Tv Led 50  4k L50p735 Go - Tcl,96999.0,MLA-TELEVISIONS,TCL
MLA1110272209,Smart Tv Samsung Series 7 Un50au7000gczb Led 4k 50  220v - 240v,129999.0,MLA-TELEVISIONS,Samsung
MLA1181166763,Smart Tv Tcl C725-series 65c725 Qled 4k 65  100v/240v,249999.0,MLA-TELEVISIONS,TCL
MLA1347013130,Smart Tv Samsung Series 7 Un43au7000gczb Led 4k 43  220v - 240v,109999.0,MLA-TELEVISIONS,Samsung
MLA1131372433,Smart Tv Philips 7000 Series 50pud7406/77 Led 4k 50  110v/240v,114999.0,MLA-TELEVISIONS,Philips
MLA1150216401,Smart Tv Philips 7000 Series 55pud7406/77 Led 4k 55  110v/240v,137999.0,MLA-TELEVISIONS,Philips
MLA1121136819,Smart Tv Samsung Series 7 Un55au7000gczb Led 4k 55  220v - 240v,164799.0,MLA-TELEVISIONS,Samsung
MLA1240290150,Smart Tv Noblex Dq50x9500pi Qled 4k 50'' Black Series Con Google Tv,144999.0,MLA-TELEVISIONS,Noblex
MLA1265720471,Smart Tv 55 Pulgadas 4k Ultra Hd Cdh-le554ksmart21 F - Hitachi,126999.0,MLA-TELEVISIONS,Hitachi
MLA1107817733,Smart Tv Samsung 2021 Un50au7000gczb Uhd 4k Tizen Led 50'',154999.0,MLA-TELEVISIONS,Samsung
MLA1128666263,Televisor Smart 50 Pulgadas Led 4k Con Control Remoto Hdmi ,91898.0,MLA-TELEVISIONS,Kanji
MLA1170709294,Smart Tv Samsung Series 7 Un55au7000gxug Led 4k 55  100v/240v,159999.0,MLA-TELEVISIONS,Samsung
MLA1160387206,Smart Tv Hitachi Cdh-le504ksmart21-f Led 4k 50  220v,102599.0,MLA-TELEVISIONS,Hitachi
MLA1259399353,Smart Tv Tcl L55p615 Led 4k 55  100v/240v,115999.0,MLA-TELEVISIONS,TCL
MLA1329382007,Smart Tv Philips 55pud7906/77 Led 4k 55  110v/240v,134999.0,MLA-TELEVISIONS,Philips
MLA1150190526,Smart Tv Philips 65pud7906/77 Led 4k 65  110v/240v,249999.0,MLA-TELEVISIONS,Philips
MLA1346680746,Smart Tv Motorola Mt50g22 Led Full Hd 50  220v,98499.0,MLA-TELEVISIONS,Motorola
MLA1346132006,Smart Tv 50 Pulgadas 4k Ultra Hd 50uq8050psb - LG,121299.0,MLA-TELEVISIONS,LG
MLA886009396,Smart Tv Aoc 50u6295/77g Led 4k 50  220v,115099.0,MLA-TELEVISIONS,AOC
MLA1262147908,Smart Tv Samsung Crystal Uhd Un65bu8000gxzd Led 4k 65  100v/240v,299999.0,MLA-TELEVISIONS,Samsung
MLA1187543418,Smart Tv Sansei Tds2250uipi Led 4k 50 ,109999.0,MLA-TELEVISIONS,Sansei
MLA1214813564, Smart Tv Noblex Db58x7500 58  Led 4k Android Tv,148999.0,MLA-TELEVISIONS,Noblex
MLA1157725073,Smart Tv Tcl P725-series 55p725 Dled 4k 55  100v/240v,122999.0,MLA-TELEVISIONS,TCL
